x,y,hex
17,55,#414141
17,56,#4d4d4d
17,57,#5f5f5f
17,58,#6e6e6e
17,59,#757575
17,60,#7b7b7b
18,5,#fdfdfd
18,6,#f1f1f1
18,7,#bababa
18,8,#808080
18,9,#7f7f7f
18,10,#424242
18,11,#262626
18,12,#171717
18,13,#141414
18,14,#171717
18,15,#2b2b2b
18,16,#363636
18,17,#464646
18,18,#5c5c5c
18,19,#6e6e6e
18,20,#7e7e7e
18,21,#8f8f8f
18,22,#9c9c9c
18,23,#a0a0a0
18,24,#a0a0a0
18,25,#a9a9a9
18,26,#aeaeae
18,27,#a6a6a6
18,28,#a1a1a1
18,29,#9a9a9a
18,30,#8a8a8a
18,31,#7b7b7b
18,32,#949494
18,33,#b8b8b8
18,34,#c1c1c1
18,35,#cbcbcb
18,36,#d1d1d1
18,37,#cecece
18,38,#c3c3c3
18,39,#aeaeae
18,40,#8f8f8f
18,41,#6d6d6d
18,42,#4a4a4a
18,43,#2f2f2f
18,44,#2f2f2f
18,45,#464646
18,46,#585858
18,47,#5b5b5b
18,48,#5a5a5a
18,49,#5d5d5d
18,50,#606060
18,51,#676767
18,52,#6e6e6e
18,53,#707070
18,54,#616161
18,55,#414141
18,56,#383838
18,57,#4c4c4c
18,58,#5f5f5f
18,59,#696969
18,60,#747474
19,5,#f1f1f1
19,6,#b4b4b4
19,7,#7d7d7d
19,8,#6d6d6d
19,9,#656565
19,10,#424242
19,11,#272727
19,12,#191919
19,13,#161616
19,14,#202020
19,15,#505050
19,16,#737373
19,17,#878787
19,18,#919191
19,19,#999999
19,20,#9b9b9b
19,21,#9a9a9a
19,22,#9e9e9e
19,23,#a3a3a3
19,24,#a9a9a9
19,25,#b2b2b2
19,26,#a9a9a9
19,27,#a1a1a1
19,28,#a0a0a0
19,29,#909090
19,30,#727272
19,31,#575757
19,32,#767676
19,33,#a8a8a8
19,34,#b9b9b9
19,35,#cccccc
19,36,#d4d4d4
19,37,#cfcfcf
19,38,#c3c3c3
19,39,#acacac
19,40,#888888
19,41,#5d5d5d
19,42,#353535
19,43,#202020
19,44,#1f1f1f
19,45,#282828
19,46,#444444
19,47,#5d5d5d
19,48,#626262
19,49,#696969
19,50,#757575
19,51,#7d7d7d
19,52,#828282
19,53,#828282
19,54,#777777
19,55,#585858
19,56,#333333
19,57,#3c3c3c
19,58,#4e4e4e
19,59,#5a5a5a
19,60,#646464
20,4,#fdfdfd
20,5,#dbdbdb
20,6,#898989
20,7,#424242
20,8,#6a6a6a
20,9,#5c5c5c
20,10,#424242
20,11,#202020
20,12,#141414
20,13,#1b1b1b
20,14,#434343
20,15,#848484
20,16,#a1a1a1
20,17,#a8a8a8
20,18,#a7a7a7
20,19,#a2a2a2
20,20,#9d9d9d
20,21,#999999
20,22,#9e9e9e
20,23,#a7a7a7
20,24,#b3b3b3
20,25,#afafaf
20,26,#a1a1a1
20,27,#a6a6a6
20,28,#a5a5a5
20,29,#898989
20,30,#575757
20,31,#3e3e3e
20,32,#616161
20,33,#8b8b8b
20,34,#a1a1a1
20,35,#c2c2c2
20,36,#d3d3d3
20,37,#cdcdcd
20,38,#bebebe
20,39,#a0a0a0
20,40,#747474
20,41,#484848
20,42,#2d2d2d
20,43,#2b2b2b
20,44,#262626
20,45,#212121
20,46,#454545
20,47,#737373
20,48,#858585
20,49,#8b8b8b
20,50,#959595
20,51,#9a9a9a
20,52,#979797
20,53,#8f8f8f
20,54,#818181
20,55,#6b6b6b
20,56,#454545
20,57,#303030
20,58,#3b3b3b
20,59,#4a4a4a
20,60,#545454
21,4,#e9e9e9
21,5,#acacac
21,6,#6e6e6e
21,7,#323232
21,8,#616161
21,9,#4c4c4c
21,10,#2f2f2f
21,11,#202020
21,12,#161616
21,13,#222222
21,14,#5c5c5c
21,15,#979797
21,16,#adadad
21,17,#b0b0b0
21,18,#b0b0b0
21,19,#a9a9a9
21,20,#9f9f9f
21,21,#9b9b9b
21,22,#9f9f9f
21,23,#a9a9a9
21,24,#b6b6b6
21,25,#a3a3a3
21,26,#9b9b9b
21,27,#acacac
21,28,#a8a8a8
21,29,#878787
21,30,#4b4b4b
21,31,#505050
21,32,#6c6c6c
21,33,#6d6d6d
21,34,#868686
21,35,#b3b3b3
21,36,#cccccc
21,37,#c4c4c4
21,38,#afafaf
21,39,#8b8b8b
21,40,#606060
21,41,#444444
21,42,#424242
21,43,#4d4d4d
21,44,#414141
21,45,#2f2f2f
21,46,#454545
21,47,#808080
21,48,#9c9c9c
21,49,#acacac
21,50,#afafaf
21,51,#acacac
21,52,#a4a4a4
21,53,#999999
21,54,#868686
21,55,#6e6e6e
21,56,#515151
21,57,#303030
21,58,#292929
21,59,#393939
21,60,#474747
22,4,#e0e0e0
22,5,#8e8e8e
22,6,#515151
22,7,#2a2a2a
22,8,#4b4b4b
22,9,#393939
22,10,#202020
22,11,#262626
22,12,#1e1e1e
22,13,#323232
22,14,#6d6d6d
22,15,#9d9d9d
22,16,#afafaf
22,17,#b2b2b2
22,18,#b3b3b3
22,19,#adadad
22,20,#a4a4a4
22,21,#9e9e9e
22,22,#9e9e9e
22,23,#a9a9a9
22,24,#b1b1b1
22,25,#929292
22,26,#959595
22,27,#b0b0b0
22,28,#aaaaaa
22,29,#818181
22,30,#454545
22,31,#515151
22,32,#646464
22,33,#575757
22,34,#747474
